"Soort","year","grasland_index"
"bruin zandoogje",1991,100
"groot dikkopje",1991,100
"icarusblauwtje",1991,100
"kleine vuurvlinder",1991,100
"oranjetipje",1991,100
"argusvlinder",1991,100
"hooibeestje",1991,100
"Index",1991,100
"bruin zandoogje",1992,129.78
"groot dikkopje",1992,85.71
"icarusblauwtje",1992,298.54
"kleine vuurvlinder",1992,38.72
"oranjetipje",1992,96.7
"argusvlinder",1992,92.19
"hooibeestje",1992,93.55
"Index",1992,129.89
"bruin zandoogje",1993,117.76
"groot dikkopje",1993,66.68
"icarusblauwtje",1993,210.38
"kleine vuurvlinder",1993,32.89
"oranjetipje",1993,136.08
"argusvlinder",1993,85.64
"hooibeestje",1993,93.68
"Index",1993,112.758
"bruin zandoogje",1994,124.69
"groot dikkopje",1994,51.01
"icarusblauwtje",1994,526.06
"kleine vuurvlinder",1994,38.93
"oranjetipje",1994,219.1
"argusvlinder",1994,73.44
"hooibeestje",1994,90.39
"Index",1994,191.958
"bruin zandoogje",1995,114.99
"groot dikkopje",1995,83.31
"icarusblauwtje",1995,218.44
"kleine vuurvlinder",1995,118.53
"oranjetipje",1995,141.56
"argusvlinder",1995,66.07
"hooibeestje",1995,103.64
"Index",1995,135.366
"bruin zandoogje",1996,142.12
"groot dikkopje",1996,106.15
"icarusblauwtje",1996,174.57
"kleine vuurvlinder",1996,68.08
"oranjetipje",1996,114.07
"argusvlinder",1996,64.03
"hooibeestje",1996,107.37
"Index",1996,120.998
"bruin zandoogje",1997,103.47
"groot dikkopje",1997,43.73
"icarusblauwtje",1997,200.81
"kleine vuurvlinder",1997,97.6
"oranjetipje",1997,77.41
"argusvlinder",1997,57.28
"hooibeestje",1997,104.86
"Index",1997,104.604
"bruin zandoogje",1998,135
"groot dikkopje",1998,18.32
"icarusblauwtje",1998,54.58
"kleine vuurvlinder",1998,54.54
"oranjetipje",1998,135.95
"argusvlinder",1998,52.28
"hooibeestje",1998,96.01
"Index",1998,79.678
"bruin zandoogje",1999,103.05
"groot dikkopje",1999,3.8
"icarusblauwtje",1999,122.22
"kleine vuurvlinder",1999,52.53
"oranjetipje",1999,115.08
"argusvlinder",1999,47.73
"hooibeestje",1999,96.11
"Index",1999,79.336
"bruin zandoogje",2000,150.11
"groot dikkopje",2000,12.08
"icarusblauwtje",2000,58.49
"kleine vuurvlinder",2000,55.87
"oranjetipje",2000,159.46
"argusvlinder",2000,43
"hooibeestje",2000,89.16
"Index",2000,87.202
"bruin zandoogje",2001,148.78
"groot dikkopje",2001,15.61
"icarusblauwtje",2001,40.36
"kleine vuurvlinder",2001,17.8
"oranjetipje",2001,145.26
"argusvlinder",2001,40.52
"hooibeestje",2001,106.45
"Index",2001,73.562
"bruin zandoogje",2002,110.17
"groot dikkopje",2002,35.72
"icarusblauwtje",2002,148.34
"kleine vuurvlinder",2002,81.8
"oranjetipje",2002,196.84
"argusvlinder",2002,36.48
"hooibeestje",2002,99.33
"Index",2002,114.574
"bruin zandoogje",2003,185.58
"groot dikkopje",2003,23.69
"icarusblauwtje",2003,262.02
"kleine vuurvlinder",2003,144.21
"oranjetipje",2003,135.41
"argusvlinder",2003,34.88
"hooibeestje",2003,94.14
"Index",2003,150.182
"bruin zandoogje",2004,206.16
"groot dikkopje",2004,23.93
"icarusblauwtje",2004,196.4
"kleine vuurvlinder",2004,64.13
"oranjetipje",2004,337.45
"argusvlinder",2004,31.95
"hooibeestje",2004,95.3
"Index",2004,165.614
"bruin zandoogje",2005,186.38
"groot dikkopje",2005,44.85
"icarusblauwtje",2005,95.6
"kleine vuurvlinder",2005,21.95
"oranjetipje",2005,242.06
"argusvlinder",2005,28.23
"hooibeestje",2005,96.81
"Index",2005,118.168
"bruin zandoogje",2006,163.84
"groot dikkopje",2006,37.55
"icarusblauwtje",2006,202.32
"kleine vuurvlinder",2006,90.71
"oranjetipje",2006,95.89
"argusvlinder",2006,26.47
